ticker_symbol,company_name,clean_companies,tickers_lower
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,authenticequityacquisitioncorpclassaordinaryshare,aeac
AEACU,Authentic Equity Acquisition Corp. Unit,authenticequityacquisitioncorpunit,aeacu
AEACW,Authentic Equity Acquisition Corp. Warrant,authenticequityacquisitioncorpwarrant,aeacw
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,altenergyacquisitioncorpclassacommonstock,aeae
AEE,Ameren Corporation Common Stock,amerencorporationcommonstock,aee
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,abrdnemergingmarketsequityincomefundinccommonstock,aef
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,aegonfundingcompanyllc510subordinatednotesdue2049,aefc
AEG,AEGON N.V. Common Stock,aegonnvcommonstock,aeg
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,aestherhealthcareacquisitioncorpclassacommonstock,aeha
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),antelopeenterpriseholdingslimitedcommonstock0024par,aehl
AEHR,Aehr Test Systems Common Stock,aehrtestsystemscommonstock,aehr
AEI,Alset EHome International Inc. Common Stock,alsetehomeinternationalinccommonstock,aei
AEIS,Advanced Energy Industries Inc. Common Stock,advancedenergyindustriesinccommonstock,aeis
AEL,American Equity Investment Life Holding Company Common Stock,americanequityinvestmentlifeholdingcompanycommonstock,ael
AEM,Agnico Eagle Mines Limited Common Stock,agnicoeaglemineslimitedcommonstock,aem
AEMD,Aethlon Medical Inc. Common Stock,aethlonmedicalinccommonstock,aemd
AENZ,Aenza S.A.A. American Depositary Shares,aenzasaaamericandepositaryshares,aenz
AEO,American Eagle Outfitters Inc. Common Stock,americaneagleoutfittersinccommonstock,aeo
AEP,American Electric Power Company Inc. Common Stock,americanelectricpowercompanyinccommonstock,aep
AEPPZ,American Electric Power Company Inc. Corporate Units,americanelectricpowercompanyinccorporateunits,aeppz
AER,AerCap Holdings N.V. Ordinary Shares,aercapholdingsnvordinaryshares,aer
AERC,AeroClean Technologies Inc. Common Stock,aerocleantechnologiesinccommonstock,aerc
AERI,Aerie Pharmaceuticals Inc. Common Stock,aeriepharmaceuticalsinccommonstock,aeri
AES,The AES Corporation Common Stock,theaescorporationcommonstock,aes
AESC,The AES Corporation Corporate Units,theaescorporationcorporateunits,aesc
AESE,Allied Esports Entertainment Inc. Common Stock,alliedesportsentertainmentinccommonstock,aese
AEVA,Aeva Technologies Inc. Common Stock,aevatechnologiesinccommonstock,aeva
AEY,ADDvantage Technologies Group Inc. Common Stock,addvantagetechnologiesgroupinccommonstock,aey
AEYE,AudioEye Inc. Common Stock,audioeyeinccommonstock,aeye
AEZS,Aeterna Zentaris Inc. Common Stock,aeternazentarisinccommonstock,aezs
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,arenafortifyacquisitioncorpclassacommonstock,afac
AFAQ,AF Acquisition Corp. Class A Common Stock,afacquisitioncorpclassacommonstock,afaq
AFAQW,AF Acquisition Corp. Warrants,afacquisitioncorpwarrants,afaqw
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,aurafatprojectsacquisitioncorpclassaordinaryshares,afar
AFARU,Aura FAT Projects Acquisition Corp Unit,aurafatprojectsacquisitioncorpunit,afaru
AFB,AllianceBernstein National Municipal Income Fund Inc,alliancebernsteinnationalmunicipalincomefundinc,afb
AFBI,Affinity Bancshares Inc. Common Stock (MD),affinitybancsharesinccommonstockmd,afbi
AFCG,AFC Gamma Inc. Common Stock,afcgammainccommonstock,afcg
AFG,American Financial Group Inc. Common Stock,americanfinancialgroupinccommonstock,afg
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,americanfinancialgroupinc5875subordinateddebenturesdue2059,afgb
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,americanfinancialgroupinc5125subordinateddebenturesdue2059,afgc
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,americanfinancialgroupinc5625subordinateddebenturesdue2060,afgd
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,americanfinancialgroupinc4500subordinateddebenturesdue2060,afge
AFIB,Acutus Medical Inc. Common Stock,acutusmedicalinccommonstock,afib
AFL,AFLAC Incorporated Common Stock,aflacincorporatedcommonstock,afl
AFMD,Affimed N.V.,affimednv,afmd
AFRI,Forafric Global PLC Ordinary Shares,forafricglobalplcordinaryshares,afri
AFRIW,Forafric Global PLC Warrants,forafricglobalplcwarrants,afriw
AFRM,Affirm Holdings Inc. Class A Common Stock,affirmholdingsincclassacommonstock,afrm
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,apolloseniorfloatingratefundinccommonstock,aft
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,afternexthealthtechacquisitioncorpclassaordinaryshares,aftr
AFYA,Afya Limited Class A Common Shares,afyalimitedclassacommonshares,afya
AG,First Majestic Silver Corp. Ordinary Shares (Canada),firstmajesticsilvercorpordinarysharescanada,ag
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,africangoldacquisitioncorporationclassaordinaryshares,agac
AGBA,AGBA Acquisition Limited Ordinary Share,agbaacquisitionlimitedordinaryshare,agba
AGBAR,AGBA Acquisition Limited Right,agbaacquisitionlimitedright,agbar
AGBAW,AGBA Acquisition Limited Warrant,agbaacquisitionlimitedwarrant,agbaw
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,altimetergrowthcorp2classaordinaryshares,agcb
AGCO,AGCO Corporation Common Stock,agcocorporationcommonstock,agco
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,abrdnglobaldynamicdividendfundcommonsharesofbeneficialinterest,agd
AGE,AgeX Therapeutics Inc. Common Stock,agextherapeuticsinccommonstock,age
AGEN,Agenus Inc. Common Stock,agenusinccommonstock,agen
AGFS,AgroFresh Solutions Inc. Common Stock,agrofreshsolutionsinccommonstock,agfs
AGFY,Agrify Corporation Common Stock,agrifycorporationcommonstock,agfy
AGGR,Agile Growth Corp. Class A Ordinary Share,agilegrowthcorpclassaordinaryshare,aggr
AGGRU,Agile Growth Corp. Units,agilegrowthcorpunits,aggru
AGGRW,Agile Growth Corp. Warrant.,agilegrowthcorpwarrant,aggrw
AGI,Alamos Gold Inc. Class A Common Shares,alamosgoldincclassacommonshares,agi
AGIL,AgileThought Inc. Class A Common Stock,agilethoughtincclassacommonstock,agil
AGILW,AgileThought Inc. Warrant,agilethoughtincwarrant,agilw
AGIO,Agios Pharmaceuticals Inc. Common Stock,agiospharmaceuticalsinccommonstock,agio
AGL,agilon health inc. Common Stock,agilonhealthinccommonstock,agl
AGLE,Aeglea BioTherapeutics Inc. Common Stock,aegleabiotherapeuticsinccommonstock,agle
AGM,Federal Agricultural Mortgage Corporation Common Stock,federalagriculturalmortgagecorporationcommonstock,agm
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,agmgroupholdingsincclassaordinaryshares,agmh
AGNC,AGNC Investment Corp. Common Stock,agncinvestmentcorpcommonstock,agnc
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,agncinvestmentcorpdepositarysharesrep6875seriesdfixedtofloatingcumulativeredeemablepreferredstock,agncm
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,agncinvestmentcorpdepositaryshareseachrepresentinga11000thinterestinashareof700seriescfixedtofloatingratecumulativeredeemablepreferredstock,agncn
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,agncinvestmentcorpdepositaryshareseachrepresentinga11000thinterestinashareof650seriesefixedtofloatingcumulativeredeemablepreferredstock,agnco
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,agncinvestmentcorpdepositaryshareseachrepresentinga11000thinterestinashareof6125seriesffixedtofloatingratecumulativeredeemablepreferredstock,agncp
AGO,Assured Guaranty Ltd. Common Stock,assuredguarantyltdcommonstock,ago
AGR,Avangrid Inc. Common Stock,avangridinccommonstock,agr
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,agriforcegrowingsystemsltdcommonshares,agri
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,agriforcegrowingsystemsltdwarrant,agriw
AGRO,Adecoagro S.A. Common Shares,adecoagrosacommonshares,agro
AGRX,Agile Therapeutics Inc. Common Stock,agiletherapeuticsinccommonstock,agrx
AGS,PlayAGS Inc. Common Stock,playagsinccommonstock,ags
AGTC,Applied Genetic Technologies Corporation Common Stock,appliedgenetictechnologiescorporationcommonstock,agtc
AGTI,Agiliti Inc. Common Stock,agilitiinccommonstock,agti
AGX,Argan Inc. Common Stock,arganinccommonstock,agx
AGYS,Agilysys Inc. Common Stock (DE),agilysysinccommonstockde,agys
AHCO,AdaptHealth Corp. Common Stock,adapthealthcorpcommonstock,ahco
AHG,Akso Health Group ADS,aksohealthgroupads,ahg
AHH,Armada Hoffler Properties Inc. Common Stock,armadahofflerpropertiesinccommonstock,ahh
AHI,Advanced Human Imaging Limited. American Depositary Shares,advancedhumanimaginglimitedamericandepositaryshares,ahi
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,avistapublicacquisitioncorpiiclassaordinaryshares,ahpa
AHPAW,Avista Public Acquisition Corp. II Warrant,avistapublicacquisitioncorpiiwarrant,ahpaw
AHPI,Allied Healthcare Products Inc. Common Stock,alliedhealthcareproductsinccommonstock,ahpi
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,ahrenacquisitioncorpclassaordinaryshares,ahrn
AHRNW,Ahren Acquisition Corp. Warrants,ahrenacquisitioncorpwarrants,ahrnw
AHT,Ashford Hospitality Trust Inc Common Stock,ashfordhospitalitytrustinccommonstock,aht
AI,C3.ai Inc. Class A Common Stock,c3aiincclassacommonstock,ai
AIB,AIB Acquisition Corporation Class A Ordinary Shares,aibacquisitioncorporationclassaordinaryshares,aib
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,arlingtonassetinvestmentcorp6750notesdue2025,aic
AIF,Apollo Tactical Income Fund Inc. Common Stock,apollotacticalincomefundinccommonstock,aif
AIG,American International Group Inc. New Common Stock,americaninternationalgroupincnewcommonstock,aig
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,aestheticmedicalinternationalholdingsgroupltdamericandepositaryshares,aih
AIHS,Senmiao Technology Limited Common Stock,senmiaotechnologylimitedcommonstock,aihs
AIKI,AIkido Pharma Inc. Common Stock,aikidopharmainccommonstock,aiki
AIM,AIM ImmunoTech Inc. Common Stock,aimimmunotechinccommonstock,aim
AIMC,Altra Industrial Motion Corp. Common Stock,altraindustrialmotioncorpcommonstock,aimc
AIMD,Ainos Inc. Common Stock,ainosinccommonstock,aimd
