senators,stocks,buy/sell,date
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Thomas Carper,SQM,bought,2022-11-14
Thomas Carper,FAST,sold,2022-11-14
Thomas Carper,MBXIX,bought,2022-11-14
Thomas Carper,Bond,bought,2022-11-14
Thomas Carper,GSIMX,bought,2022-11-14
Thomas Carper,GSMYX,sold,2022-11-14
Thomas Carper,INVALID STOCK,sold,2022-11-14
Thomas Carper,FCPIX,sold,2022-11-14
Thomas Carper,IJS,sold,2022-11-14
Thomas Carper,JHMM,bought,2022-11-14
Thomas Carper,WIW,sold,2022-11-14
Thomas Carper,IVV,sold,2022-11-14
Thomas Carper,LGI,sold,2022-11-14
Thomas Carper,KRE,sold,2022-11-14
Thomas Carper,CDL,bought,2022-11-14
Thomas Carper,CFA,sold,2022-11-14
Thomas Carper,PRF,bought,2022-11-14
Thomas Carper,EELV,bought,2022-11-14
Thomas Carper,SPGP,bought,2022-11-14
Thomas Carper,SRVR,sold,2022-11-14
Thomas Carper,CEF,sold,2022-11-14
Thomas Carper,GLD,sold,2022-11-14
Thomas Carper,GNR,sold,2022-11-14
Thomas Carper,CIBR,sold,2022-11-14
Thomas Carper,LDP,sold,2022-11-14
Thomas Carper,QTEC,sold,2022-11-14
Thomas Carper,GDXJ,sold,2022-11-14
Thomas Carper,MOO,sold,2022-11-14
Thomas Carper,GSSC,bought,2022-11-14
Thomas Carper,SMDV,bought,2022-11-14
